#WAVELENGTH,THROUGHPUT
1989.0,0.0
1990.0,1.685571725862143E-7
1990.6463623046875,1.6940170572356737E-7
2000.0,1.5886919473685776E-7
2000.648193359375,1.5768653349148542E-7
2010.0,1.4453129590381843E-7
2010.64990234375,1.4359971161252693E-7
2020.0,1.4427378017213193E-7
2020.6517333984375,1.4431044583293475E-7
2030.0,1.3258100609655822E-7
2030.6534423828125,1.317546570805983E-7
2040.0,1.230658637376788E-7
2040.6552734375,1.224447964196205E-7
2050.0,1.1432542134317577E-7
2050.656982421875,1.1375901957082249E-7
2060.0,1.0865696484332147E-7
2060.658935546875,1.0828848839016506E-7
2070.0,9.764064672539352E-8
2070.660888671875,9.68656596217549E-8
2080.0,9.066463643746155E-8
2080.662841796875,9.022101479455253E-8
2090.0,8.327687082724826E-8
2090.664794921875,8.277198438248497E-8
2100.0,7.69421769317566E-8
2100.666748046875,7.660034019773608E-8
2110.0,7.149154805332091E-8
2110.668701171875,7.110886623179039E-8
2120.0,6.822431091750838E-8
2120.670654296875,6.800174027395138E-8
2130.0,6.325284808898757E-8
2130.672607421875,6.290002052686382E-8
2140.0,6.328816592801195E-8
2140.674560546875,6.331346140255745E-8
2150.0,5.8175335183637525E-8
2150.676513671875,5.778742483706952E-8
2160.0,5.371473533093074E-8
2160.6787109375,5.3402538618173383E-8
2170.0,5.177373921815654E-8
2170.6806640625,5.165177324935957E-8
2180.0,5.0368789602200385E-8
2180.682861328125,5.026912808892291E-8
2190.0,5.287158041688895E-8
2190.684814453125,5.306559666815162E-8
2200.0,4.525761018858244E-8
2200.68701171875,4.46520244275464E-8
2210.0,4.301611321083276E-8
2210.68896484375,4.289285461970408E-8
2220.0,4.58126604599719E-8
2220.691162109375,4.603272467761702E-8
2230.0,4.7365681578561186E-8
2230.693115234375,4.744791638196472E-8
2240.0,4.629740432029378E-8
2240.6953125,4.6204958520762906E-8
2250.0,4.367250857236745E-8
2250.697509765625,4.348049351649852E-8
2260.0,4.196484832159762E-8
2260.69970703125,4.184715671208337E-8
2270.0,4.998764599552504E-8
2270.701904296875,5.061114452216743E-8
2280.0,5.1130289286207415E-8
2280.7041015625,5.1165149624462156E-8
2290.0,5.174605217062887E-8
2290.706298828125,5.1792694037343057E-8
2300.0,4.7760831670627916E-8
2300.70849609375,4.742395699268112E-8
2310.0,5.787853038876207E-8
2310.71044921875,5.868422525740183E-8
2320.0,6.293340797625271E-8
2320.712890625,6.325705761500993E-8
2330.0,6.257108473391941E-8
2330.715087890625,6.252096253856694E-8
2340.0,6.790103886799814E-8
2340.71728515625,6.831915891411374E-8
2350.0,7.299053125746645E-8
2350.719482421875,7.335456347910874E-8
2360.0,7.798605232388678E-8
2360.7216796875,7.834279775753822E-8
2370.0,8.158948654801508E-8
2370.723876953125,8.18490589714203E-8
2380.0,8.719576165025744E-8
2380.72607421875,8.76165075424931E-8
2390.0,9.029043550539126E-8
2390.728515625,9.049498697556082E-8
2400.0,1.0113055547160076E-7
2400.730712890625,1.0187649061809111E-7
2410.0,1.0104122128243483E-7
2410.73291015625,1.0097442670252149E-7
2420.0,1.1478170389362473E-7
2420.735107421875,1.1586842877547112E-7
2430.0,1.1413701223162853E-7
2430.737548828125,1.1397930441746795E-7
2440.0,1.1933272363191392E-7
2440.73974609375,1.1976324938835766E-7
2450.0,1.2793244330334116E-7
2450.7421875,1.28580370646809E-7
2460.0,1.325627182463753E-7
2460.744384765625,1.3286983899678228E-7
2470.0,1.365372641611573E-7
2470.74658203125,1.368384944529243E-7
2480.0,1.360621387257479E-7
2480.7490234375,1.3599887877746968E-7
2490.0,1.5244722919257132E-7
2490.751220703125,1.5375914493992246E-7
2500.0,1.5597759794407488E-7
2500.753662109375,1.5613908068838912E-7
2510.0,1.5924653852040597E-7
2510.756103515625,1.5949612618293786E-7
2520.0,1.6909832878018095E-7
2520.75830078125,1.6986318741871333E-7
2530.0,1.6993090424995186E-7
2530.760498046875,1.6994637154167823E-7
2540.0,1.8031655581056817E-7
2540.762939453125,1.8116050177415988E-7
2550.0,1.9234723121917596E-7
2550.765380859375,1.932468966948486E-7
2560.0,1.8997615947560098E-7
2560.767578125,1.8971880561579715E-7
2570.0,2.0000234520197612E-7
2570.77001953125,2.0084663558604727E-7
2580.0,2.0309466531127953E-7
2580.7724609375,2.0326333698191277E-7
2590.0,2.1396569022823775E-7
2590.77490234375,2.1486409912227614E-7
2600.0,2.1366601683772163E-7
2600.777099609375,2.1353913839058488E-7
2610.0,2.2410759861456066E-7
2610.779541015625,2.2496734176205744E-7
2620.0,2.3450515502543775E-7
2620.781982421875,2.353131758484065E-7
2630.0,2.3624529743590322E-7
2630.7841796875,2.363271378685432E-7
2640.0,2.4466854219620034E-7
2640.78662109375,2.4534700483214306E-7
2650.0,2.5208586548281234E-7
2650.7890625,2.526660224601055E-7
2660.0,2.650112926772848E-7
