WAVELENGTH,THROUGHPUT
1989.0,0.0
1990.0,4.7232503411306594E-8
1990.6463623046875,4.7589958845381006E-8
2000.0,5.4428885295568544E-8
2000.648193359375,5.478696541107543E-8
2010.0,4.716693131507969E-8
2010.64990234375,4.662782865741934E-8
2020.0,4.718160835154575E-8
2020.6517333984375,4.7217219940466073E-8
2030.0,4.970559232994658E-8
2030.6534423828125,4.988462994311182E-8
2040.0,4.6087478583910495E-8
2040.6552734375,4.581618181040955E-8
2050.0,4.4218815272860584E-8
2050.656982421875,4.4110003399417725E-8
2060.0,4.2720114453090905E-8
2060.658935546875,4.2619481980169424E-8
2070.0,4.2949233878478504E-8
2070.660888671875,4.296941417669295E-8
2080.0,4.5919861827813845E-8
2080.662841796875,4.6134813367907813E-8
2090.0,3.799148315296523E-8
2090.664794921875,3.740066218088955E-8
2100.0,3.6756179031596535E-8
2100.666748046875,3.6748594413686706E-8
2110.0,4.226590844505767E-8
2110.668701171875,4.2672055636864705E-8
2120.0,3.485720325176566E-8
2120.670654296875,3.427260109899099E-8
2130.0,4.097792078728163E-8
2130.672607421875,4.147703901825451E-8
2140.0,3.7068704868590926E-8
2140.674560546875,3.673746032499555E-8
2150.0,4.112346025387697E-8
2150.676513671875,4.144936258382356E-8
2160.0,3.629892969658797E-8
2160.6787109375,3.59079447764963E-8
2170.0,3.3500755020246656E-8
2170.6806640625,3.332007893821017E-8
2180.0,3.70117211517334E-8
2180.682861328125,3.728829342394568E-8
2190.0,3.89689475393587E-8
2190.684814453125,3.9093975715419705E-8
2200.0,3.9692015717708305E-8
2200.68701171875,3.972586762047145E-8
2210.0,3.115475339170693E-8
2210.68896484375,3.050533384667506E-8
2220.0,4.319076532355841E-8
2220.691162109375,4.4154374721859755E-8
2230.0,4.899094023404167E-8
2230.693115234375,4.933981770632011E-8
2240.0,4.7481503761524745E-8
2240.6953125,4.733504129496517E-8
2250.0,4.379402435271142E-8
2250.697509765625,4.352505629213423E-8
2260.0,5.083641491634388E-8
2260.69970703125,5.139447054198094E-8
2270.0,4.936173139229332E-8
2270.701904296875,4.9203777751941244E-8
2280.0,3.9975415051320564E-8
2280.7041015625,3.926047609002441E-8
2290.0,4.9440642613689906E-8
2290.706298828125,5.022828825889257E-8
2300.0,4.7912345458112614E-8
2300.70849609375,4.770830948360624E-8
2310.0,4.391795193370841E-8
2310.71044921875,4.3624536550729175E-8
2320.0,4.356206319522424E-8
2320.712890625,4.355349862290597E-8
2330.0,4.96811029699347E-8
2330.715087890625,5.01591623110361E-8
2340.0,3.947507332810925E-8
2340.71728515625,3.8641919951113795E-8
2350.0,4.3464373154950623E-8
2350.719482421875,4.384065681775697E-8
2360.0,4.9040893592887744E-8
2360.7216796875,4.9444590993278306E-8
2370.0,4.5901997938033395E-8
2370.723876953125,4.5626117525371665E-8
2380.0,3.5303671278927765E-8
2380.72607421875,3.448886195012125E-8
2390.0,4.486648508721616E-8
2390.728515625,4.5684446058057435E-8
2400.0,3.853428579629065E-8
2400.730712890625,3.793052266469674E-8
2410.0,5.1936785562325736E-8
2410.73291015625,5.303646318820786E-8
2420.0,4.926542166674289E-8
2420.735107421875,4.896775063648969E-8
2430.0,4.9491659826755466E-8
2430.737548828125,4.952403701900429E-8
2440.0,4.329394223177575E-8
2440.73974609375,4.2803495091868993E-8
2450.0,4.934660354839452E-8
2450.7421875,4.9866064253447324E-8
2460.0,4.386098275719084E-8
2460.744384765625,4.33789695784155E-8
2470.0,4.3339862097112214E-8
2470.74658203125,4.333936294212396E-8
2480.0,3.84762983752602E-8
2480.7490234375,3.808590128256781E-8
2490.0,3.2546265851848185E-8
2490.751220703125,3.209806157837119E-8
2500.0,4.44843110796534E-8
2500.753662109375,4.5478380336168776E-8
2510.0,4.302263198003608E-8
2510.756103515625,4.282371953180477E-8
2520.0,4.489320932000275E-8
2520.75830078125,4.505737745710825E-8
2530.0,4.57929347408191E-8
2530.760498046875,4.5855378066055266E-8
2540.0,4.000923741513442E-8
2540.762939453125,3.953187323807659E-8
2550.0,3.810201671179625E-8
2550.765380859375,3.798185538266183E-8
2560.0,4.131537295336573E-8
2560.767578125,4.1591152616480314E-8
2570.0,3.353036441815186E-8
2570.77001953125,3.286610260740633E-8
2580.0,3.6929471493185794E-8
2580.7724609375,3.726206157618074E-8
2590.0,4.287385605435833E-8
2590.77490234375,4.3341023446424256E-8
2600.0,4.6425429068213993E-8
2600.777099609375,4.667586290855365E-8
2610.0,4.688716154560508E-8
2610.779541015625,4.6900532337964194E-8
2620.0,4.6530503721951213E-8
2620.781982421875,4.650201325483884E-8
2630.0,4.011879942689883E-8
2630.7841796875,3.958477123221428E-8
2640.0,3.980946475480457E-8
2640.78662109375,3.982467104872543E-8
2650.0,4.67682165506219E-8
2650.7890625,4.735545292093645E-8
2660.0,4.63855025857467E-8
2660.79150390625,4.630242581675515E-8
2670.0,4.92022935623486E-8
2670.793701171875,4.944344855606953E-8
2680.0,4.800362549087948E-8
2680.796142578125,4.788352676332029E-8
2690.0,5.000080083914922E-8
2690.798583984375,5.018011167874265E-8
2700.0,5.350596715692061E-8
2700.801025390625,5.385385180891814E-8
2710.0,4.519084454210576E-8
2710.803466796875,4.44393708527286E-8
2720.0,5.102717765312137E-8
2720.805908203125,5.160350230689182E-8
2730.0,5.12093673328539E-8
2730.808349609375,5.1170999004394756E-8
2740.0,5.2398224673097765E-8
2740.810791015625,5.251006148331589E-8
2750.0,6.087595160326727E-8
2750.81298828125,6.161027986070391E-8
2760.0,5.470649676501454E-8
2760.815673828125,5.409913252518281E-8
2770.0,5.839521240772633E-8
2770.818115234375,5.877721181690652E-8
2780.0,5.492766303687575E-8
2780.8203125,5.458023848524215E-8
2790.0,5.4641812134828415E-8
2790.822998046875,5.465137115559831E-8
2800.0,5.6673730454594465E-8
2800.8251953125,5.688925507141941E-8
2810.0,5.872315749780001E-8
2810.827880859375,5.888505878762504E-8
2820.0,5.9204329052865623E-8
2820.830078125,5.923774316061829E-8
2830.0,6.452038562940908E-8
2830.83251953125,6.499191078664447E-8
2840.0,5.936502986963728E-8
2840.835205078125,5.885499491106809E-8
2850.0,6.463066284943357E-8
2850.837646484375,6.516080616254472E-8
2860.0,6.275954066841306E-8
2860.840087890625,6.253356971120463E-8
2870.0,7.736526277463355E-8
2870.842529296875,7.874014520364158E-8
2880.0,8.898263101394678E-8
2880.844970703125,8.992486251953484E-8
2890.0,2.5693457637771194E-7
2900.0,4.409604515137313E-7
2910.0,6.291667681698042E-7
2920.0,8.19759191981403E-7
2930.0,1.0140469215589522E-6
2930.857421875,1.0307717400843362E-6
2940.0,9.57477825616514E-6
2940.85986328125,1.0385070668428621E-5
2950.0,2.8869692824559344E-5
2950.8623046875,3.0627864345177866E-5
2960.0,7.181827078859342E-5
2960.86474609375,7.574212598267879E-5
2970.0,1.5728342089156436E-4
2970.8671875,1.6509226266395237E-4
2980.0,3.074127851823674E-4
2980.86962890625,3.210478854201251E-4
2990.0,4.94266432405059E-4
2990.872314453125,5.109719694169332E-4
3000.0,8.933450734829496E-4
3000.874755859375,9.296097963665801E-4
3010.0,0.001592255323821224
3010.877197265625,0.0016560665220380537
3020.0,0.0026907337266449905
3020.879638671875,0.002790557314974022
3030.0,0.004794999706977775
3030.882080078125,0.004988558296982938
3040.0,0.008296803034960927
3040.884765625,0.008618385933425171
3050.0,0.014172881381876635
3050.88720703125,0.014712630981405884
3060.0,0.023567658196503263
3060.8896484375,0.024433765617971972
3070.0,0.03875104693723944
3070.89208984375,0.040150521061119715
3080.0,0.060672620922262846
3080.894775390625,0.06269296870844966
3090.0,0.09049346805400114
3090.897216796875,0.09322677000421285
3100.0,0.12126970881846186
3100.899658203125,0.12405011906214196
3110.0,0.14789404684424165
